state	program	spending
Nevada	Livestock Forage Disaster Program	70817687
Nevada	Livestock Compensation Program	6520715
Nevada	Emergency Livestock Feed Assistance	2598413
Nevada	Livestock Emergency Assistance Program	1820972
Nevada	Market Facilitation Program - Dairy and Hogs	1142203
Nevada	Livestock Indemnity Payments	586762
Nevada	American Indian Livestock Feed Program	164819
Nevada	Small Hog Operation	4249
