state	program	spending
Connecticut	Livestock Compensation Program	894457
Connecticut	Market Facilitation Program - Dairy and Hogs	721218
Connecticut	Livestock Emergency Assistance Program	326050
Connecticut	Emergency Livestock Feed Assistance	104694
Connecticut	Livestock Indemnity Payments	74237
Connecticut	Small Hog Operation	21802
Connecticut	Market Facilitation Program - Hogs	3280
Connecticut	Livestock Forage Disaster Program	2814
