state	program	spending
Kansas	Livestock Forage Disaster Program	620186822
Kansas	Livestock Compensation Program	66812499
Kansas	Livestock Indemnity Payments	25138576
Kansas	Emergency Livestock Feed Assistance	21702223
Kansas	Market Facilitation Program - Dairy and Hogs	8758314
Kansas	Small Hog Operation	3071727
Kansas	Livestock Emergency Assistance Program	2618694
Kansas	Market Facilitation Program - Hogs	1946549
