state	year	spending
Ohio	1995	0
Ohio	1996	0
Ohio	1997	19318
Ohio	1998	2480
Ohio	1999	5562473
Ohio	2000	3830821
Ohio	2001	0
Ohio	2002	17225995
Ohio	2003	1129342
Ohio	2004	112324
Ohio	2005	762634
Ohio	2006	2512
Ohio	2007	571494
Ohio	2008	2765327
Ohio	2009	28257
Ohio	2010	195797
Ohio	2011	53769
Ohio	2012	17439
Ohio	2013	0
Ohio	2014	1165517
Ohio	2015	1130951
Ohio	2016	378994
Ohio	2017	97527
Ohio	2018	5340299
Ohio	2019	14338260
Ohio	2020	5091166
