state	program	spending
New York	Livestock Compensation Program	29611532
New York	Market Facilitation Program - Dairy and Hogs	22848750
New York	Livestock Emergency Assistance Program	7670062
New York	Livestock Forage Disaster Program	2888943
New York	Emergency Livestock Feed Assistance	1316606
New York	Livestock Indemnity Payments	1068528
New York	Market Facilitation Program - Hogs	175251
New York	Small Hog Operation	156517
