state	program	spending
Massachusetts	Livestock Emergency Assistance Program	4598837
Massachusetts	Livestock Compensation Program	1197414
Massachusetts	Livestock Forage Disaster Program	531939
Massachusetts	Market Facilitation Program - Dairy and Hogs	478402
Massachusetts	Emergency Livestock Feed Assistance	140616
Massachusetts	Small Hog Operation	75605
Massachusetts	Market Facilitation Program - Hogs	51899
Massachusetts	Livestock Indemnity Payments	40075
