state	program	spending
Texas	Livestock Forage Disaster Program	1492516377
Texas	Emergency Livestock Feed Assistance	260678122
Texas	Livestock Compensation Program	158624203
Texas	Livestock Emergency Assistance Program	97137520
Texas	Livestock Indemnity Payments	33869117
Texas	Market Facilitation Program - Dairy and Hogs	15542821
Texas	Small Hog Operation	548128
Texas	Market Facilitation Program - Hogs	14089
