state	program	spending
Washington	Livestock Forage Disaster Program	15281106
Washington	Livestock Compensation Program	12663810
Washington	Market Facilitation Program - Dairy and Hogs	9732213
Washington	Livestock Indemnity Payments	7844392
Washington	Livestock Emergency Assistance Program	7524509
Washington	Emergency Livestock Feed Assistance	3765194
Washington	Small Hog Operation	100828
Washington	Market Facilitation Program - Hogs	40360
