state	program	spending
North Carolina	Livestock Compensation Program	19084890
North Carolina	Emergency Livestock Feed Assistance	14016107
North Carolina	Livestock Forage Disaster Program	11894304
North Carolina	Livestock Indemnity Payments	5769185
North Carolina	Market Facilitation Program - Dairy and Hogs	4108278
North Carolina	Livestock Emergency Assistance Program	3161479
North Carolina	Market Facilitation Program - Hogs	892829
North Carolina	Small Hog Operation	758408
North Carolina	Livestock Indemnity-contract Growers	252883
