state	program	spending
Idaho	Livestock Forage Disaster Program	42295411
Idaho	Livestock Compensation Program	31155186
Idaho	Market Facilitation Program - Dairy and Hogs	19453569
Idaho	Livestock Emergency Assistance Program	14117540
Idaho	Livestock Indemnity Payments	4962624
Idaho	Emergency Livestock Feed Assistance	2740907
Idaho	American Indian Livestock Feed Program	438958
Idaho	Small Hog Operation	120584
Idaho	Market Facilitation Program - Hogs	50439
