state	program	spending
New Hampshire	Livestock Compensation Program	912428
New Hampshire	Market Facilitation Program - Dairy and Hogs	459870
New Hampshire	Livestock Forage Disaster Program	144067
New Hampshire	Emergency Livestock Feed Assistance	47431
New Hampshire	Livestock Emergency Assistance Program	41168
New Hampshire	Small Hog Operation	9462
New Hampshire	Livestock Indemnity Payments	9223
New Hampshire	Market Facilitation Program - Hogs	912
