state	program	spending
Delaware	Livestock Compensation Program	364418
Delaware	Market Facilitation Program - Dairy and Hogs	138410
Delaware	Livestock Indemnity Payments	77420
Delaware	Small Hog Operation	67047
Delaware	Market Facilitation Program - Hogs	656
