state	program	spending
South Carolina	Livestock Forage Disaster Program	32589658
South Carolina	Emergency Livestock Feed Assistance	9863313
South Carolina	Livestock Compensation Program	7077089
South Carolina	Livestock Indemnity Payments	816180
South Carolina	Market Facilitation Program - Dairy and Hogs	535097
South Carolina	Small Hog Operation	440206
South Carolina	Livestock Emergency Assistance Program	265664
South Carolina	Market Facilitation Program - Hogs	162312
South Carolina	Livestock Indemnity-contract Growers	81546
