state	program	spending
Wisconsin	Market Facilitation Program - Dairy and Hogs	49322584
Wisconsin	Livestock Compensation Program	45658489
Wisconsin	Livestock Forage Disaster Program	14207467
Wisconsin	Livestock Indemnity Payments	3355028
Wisconsin	Livestock Emergency Assistance Program	3171468
Wisconsin	Small Hog Operation	3033133
Wisconsin	Market Facilitation Program - Hogs	1303439
Wisconsin	Emergency Livestock Feed Assistance	679838
