state	program	spending
Ohio	Livestock Compensation Program	20833029
Ohio	Market Facilitation Program - Dairy and Hogs	18994452
Ohio	Small Hog Operation	5564918
Ohio	Emergency Livestock Feed Assistance	5539279
Ohio	Market Facilitation Program - Hogs	5061640
Ohio	Livestock Indemnity Payments	1564351
Ohio	Livestock Emergency Assistance Program	1234424
Ohio	Livestock Forage Disaster Program	1030602
