state	program	spending
New Jersey	Livestock Emergency Assistance Program	786359
New Jersey	Livestock Compensation Program	721346
New Jersey	Market Facilitation Program - Dairy and Hogs	255656
New Jersey	Livestock Indemnity Payments	181122
New Jersey	Emergency Livestock Feed Assistance	100595
New Jersey	Small Hog Operation	64485
New Jersey	Market Facilitation Program - Hogs	14376
