state	year	spending
Minnesota	2008	14833508791
Minnesota	2009	25860331569
Minnesota	2010	26271102060
Minnesota	2011	29092530156
Minnesota	2012	26596496289
Minnesota	2013	29030778777
Minnesota	2014	32192345025
Minnesota	2015	64182697611
Minnesota	2016	79238704931
Minnesota	2017	93871784644
Minnesota	2018	101676469682
Minnesota	2019	118333587815
Minnesota	2020	156877947134
Minnesota	2021	182598041466
Minnesota	2022	202530481126
Minnesota	2023	41992280114
