state	program	spending
Tennessee	Livestock Forage Disaster Program	60943421
Tennessee	Livestock Compensation Program	41012623
Tennessee	Emergency Livestock Feed Assistance	33571918
Tennessee	Livestock Indemnity Payments	3450828
Tennessee	Livestock Emergency Assistance Program	1997115
Tennessee	Market Facilitation Program - Dairy and Hogs	1558936
Tennessee	Small Hog Operation	1094608
Tennessee	Market Facilitation Program - Hogs	71129
