state	program	spending
Arizona	Livestock Forage Disaster Program	77266337
Arizona	Emergency Livestock Feed Assistance	14108749
Arizona	Livestock Compensation Program	7994602
Arizona	Livestock Emergency Assistance Program	7588084
Arizona	Market Facilitation Program - Dairy and Hogs	6149857
Arizona	American Indian Livestock Feed Program	658399
Arizona	Small Hog Operation	28190
Arizona	Livestock Indemnity Payments	6361
