state	program	spending
Pennsylvania	Livestock Compensation Program	22991559
Pennsylvania	Market Facilitation Program - Dairy and Hogs	15770782
Pennsylvania	Livestock Emergency Assistance Program	6378552
Pennsylvania	Emergency Livestock Feed Assistance	1315202
Pennsylvania	Market Facilitation Program - Hogs	1223312
Pennsylvania	Small Hog Operation	1068820
Pennsylvania	Livestock Indemnity Payments	732162
Pennsylvania	Livestock Forage Disaster Program	164456
