state	program	spending
Michigan	Market Facilitation Program - Dairy and Hogs	19335597
Michigan	Livestock Compensation Program	18968636
Michigan	Livestock Emergency Assistance Program	4758993
Michigan	Market Facilitation Program - Hogs	2152134
Michigan	Small Hog Operation	1918841
Michigan	Emergency Livestock Feed Assistance	1748789
Michigan	Livestock Indemnity Payments	1597381
Michigan	Livestock Forage Disaster Program	418475
