state	program	spending
Florida	Livestock Forage Disaster Program	100711978
Florida	Livestock Emergency Assistance Program	44652293
Florida	Emergency Livestock Feed Assistance	35588071
Florida	Livestock Compensation Program	18982875
Florida	Market Facilitation Program - Dairy and Hogs	3154083
Florida	Livestock Indemnity Payments	2470544
Florida	Small Hog Operation	195097
Florida	American Indian Livestock Feed Program	41746
