state	program	spending
Iowa	Livestock Forage Disaster Program	112755388
Iowa	Market Facilitation Program - Dairy and Hogs	85692533
Iowa	Livestock Compensation Program	42637233
Iowa	Market Facilitation Program - Hogs	39992776
Iowa	Small Hog Operation	37286075
Iowa	Livestock Indemnity Payments	17460399
Iowa	Emergency Livestock Feed Assistance	6096617
Iowa	Livestock Emergency Assistance Program	4267220
Iowa	Livestock Relief	352072
