state	program	spending
Maine	Livestock Compensation Program	1793768
Maine	Market Facilitation Program - Dairy and Hogs	1166180
Maine	Livestock Emergency Assistance Program	343113
Maine	Livestock Forage Disaster Program	182046
Maine	Emergency Livestock Feed Assistance	72696
Maine	Livestock Indemnity Payments	65096
Maine	Market Facilitation Program - Hogs	23633
Maine	Small Hog Operation	12830
