state	program	spending
Louisiana	Livestock Forage Disaster Program	58722293
Louisiana	Emergency Livestock Feed Assistance	28244938
Louisiana	Livestock Indemnity Payments	24106174
Louisiana	Livestock Compensation Program	15857966
Louisiana	Livestock Emergency Assistance Program	8130389
Louisiana	Market Facilitation Program - Dairy and Hogs	318745
Louisiana	Small Hog Operation	45124
