state	program	spending
Oregon	Livestock Forage Disaster Program	135179804
Oregon	Livestock Compensation Program	17172417
Oregon	Livestock Emergency Assistance Program	13941869
Oregon	Livestock Indemnity Payments	5995133
Oregon	Emergency Livestock Feed Assistance	4983739
Oregon	Market Facilitation Program - Dairy and Hogs	3330743
Oregon	Small Hog Operation	74284
Oregon	Market Facilitation Program - Hogs	34064
