state	program	spending
Mississippi	Livestock Forage Disaster Program	61087975
Mississippi	Emergency Livestock Feed Assistance	31051054
Mississippi	Livestock Compensation Program	17738837
Mississippi	Livestock Indemnity Payments	3627518
Mississippi	Livestock Emergency Assistance Program	2206052
Mississippi	Market Facilitation Program - Dairy and Hogs	489971
Mississippi	Livestock Indemnity-contract Growers	386270
Mississippi	Small Hog Operation	190641
Mississippi	Market Facilitation Program - Hogs	1488
