state	program	spending
Georgia	Livestock Forage Disaster Program	165240381
Georgia	Emergency Livestock Feed Assistance	69923103
Georgia	Livestock Compensation Program	27903093
Georgia	Livestock Emergency Assistance Program	20434165
Georgia	Market Facilitation Program - Dairy and Hogs	2624407
Georgia	Livestock Indemnity Payments	2492519
Georgia	Small Hog Operation	1557801
Georgia	Market Facilitation Program - Hogs	150324
Georgia	Livestock Indemnity Prog - Authorization	8910
