state	program	spending
Virginia	Livestock Compensation Program	26293030
Virginia	Emergency Livestock Feed Assistance	12925375
Virginia	Livestock Indemnity Payments	4764195
Virginia	Market Facilitation Program - Dairy and Hogs	2510669
Virginia	Livestock Forage Disaster Program	1647156
Virginia	Livestock Emergency Assistance Program	1159557
Virginia	Small Hog Operation	247500
Virginia	Livestock Indemnity-contract Growers	49699
Virginia	Market Facilitation Program - Hogs	35769
